[2025-04-19 22:36:32] Normal (IoU: 0.07, People: 3)
[2025-04-19 22:36:51] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.26, People: 2)
[2025-04-19 22:36:52] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.28, People: 2)
[2025-04-19 22:36:52] Moderately Crowded - ALERT: Moderate crowding detected. (IoU: 0.28, People: 2)
[2025-04-19 22:36:52] Normal (IoU: 0.10, People: 3)
[2025-04-19 22:36:53] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:36:53] Normal (IoU: 0.01, People: 3)
[2025-04-19 22:36:53] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:36:54] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:36:54] Normal (IoU: 0.05, People: 3)
[2025-04-19 22:36:54] Normal (IoU: 0.03, People: 4)
[2025-04-19 22:36:55] Normal (IoU: 0.03, People: 4)
[2025-04-19 22:36:55] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:36:56] Normal (IoU: 0.02, People: 5)
[2025-04-19 22:36:56] Normal (IoU: 0.02, People: 6)
[2025-04-19 22:36:56] Normal (IoU: 0.01, People: 4)
[2025-04-19 22:36:57] Normal (IoU: 0.01, People: 4)
[2025-04-19 22:36:57] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:36:57] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:36:58] Normal (IoU: 0.07, People: 3)
[2025-04-19 22:36:58] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:36:58] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:36:59] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:36:59] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:00] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:00] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:00] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:01] Normal (IoU: 0.00, People: 1)
[2025-04-19 22:37:01] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:01] Normal (IoU: 0.01, People: 3)
[2025-04-19 22:37:02] Normal (IoU: 0.01, People: 4)
[2025-04-19 22:37:02] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:02] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:03] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:03] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:04] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:04] Normal (IoU: 0.01, People: 4)
[2025-04-19 22:37:04] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:05] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:05] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:05] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:06] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:06] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:07] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:07] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:07] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:08] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:08] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:09] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:09] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:09] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:10] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:10] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:10] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:11] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:11] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:12] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:12] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:12] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:13] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:13] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:14] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:14] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:14] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:15] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:15] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:16] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:16] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:16] Normal (IoU: 0.00, People: 0)
[2025-04-19 22:37:17] Normal (IoU: 0.00, People: 1)
[2025-04-19 22:37:17] Normal (IoU: 0.00, People: 1)
[2025-04-19 22:37:18] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:18] Normal (IoU: 0.00, People: 3)
[2025-04-19 22:37:18] Normal (IoU: 0.00, People: 1)
[2025-04-19 22:37:19] Normal (IoU: 0.00, People: 2)
[2025-04-19 22:37:19] Normal (IoU: 0.02, People: 4)
[2025-04-19 22:37:19] Normal (IoU: 0.05, People: 3)
[2025-04-19 22:37:20] Normal (IoU: 0.05, People: 3)
[2025-04-19 22:37:20] Normal (IoU: 0.03, People: 4)
[2025-04-19 22:37:20] Normal (IoU: 0.03, People: 4)
[2025-04-19 22:37:21] Normal (IoU: 0.04, People: 4)
[2025-04-19 22:37:21] Normal (IoU: 0.05, People: 5)
[2025-04-19 22:37:22] Normal (IoU: 0.05, People: 5)
[2025-04-19 22:37:22] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:22] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:23] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:23] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:23] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:24] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:24] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:24] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:25] Normal (IoU: 0.10, People: 4)
[2025-04-19 22:37:25] Normal (IoU: 0.10, People: 4)
[2025-04-19 22:37:26] Normal (IoU: 0.15, People: 4)
[2025-04-19 22:37:26] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:26] Normal (IoU: 0.10, People: 5)
[2025-04-19 22:37:27] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:27] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:27] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:28] Normal (IoU: 0.15, People: 4)
[2025-04-19 22:37:28] Normal (IoU: 0.09, People: 6)
[2025-04-19 22:37:29] Normal (IoU: 0.09, People: 6)
[2025-04-19 22:37:29] Normal (IoU: 0.10, People: 6)
[2025-04-19 22:37:29] Normal (IoU: 0.06, People: 5)
[2025-04-19 22:37:30] Normal (IoU: 0.14, People: 4)
[2025-04-19 22:37:30] Normal (IoU: 0.14, People: 4)
[2025-04-19 22:37:30] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:31] Normal (IoU: 0.10, People: 5)
[2025-04-19 22:37:31] Normal (IoU: 0.10, People: 5)
[2025-04-19 22:37:31] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:32] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:32] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:33] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:33] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:33] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:34] Normal (IoU: 0.16, People: 4)
[2025-04-19 22:37:34] Normal (IoU: 0.17, People: 4)
[2025-04-19 22:37:34] Normal (IoU: 0.17, People: 4)
[2025-04-19 22:37:34] Normal (IoU: 0.17, People: 4)
[2025-04-19 22:37:34] Normal (IoU: 0.13, People: 4)
